,CA,CO,NY,TX,WA
2025-10-01,1017665.4226801242,714731.5195906764,561470.8202814251,451476.2692958572,732302.4663699506
2025-11-01,1039231.8240229087,733483.7474752035,567717.5254602033,464733.6242402397,751255.1031446573
2025-12-01,1037617.5407766682,732932.9687565793,569832.724280876,463245.4446279334,750859.7717071518
2026-01-01,1056035.7060842756,741089.2482672215,572403.0282255774,466214.91947494075,765112.0367940624
2026-02-01,1086934.1242675697,762971.6564569718,576937.2466531569,475307.26364989066,789693.0511609023
2026-03-01,1035190.5612586814,730007.4199409485,575081.4922372078,463992.9659716405,745810.86599612
2026-04-01,1051941.4216437456,741347.1144785836,578247.3230413058,469330.7442266135,764509.7645000435
2026-05-01,1063199.245747428,752214.5128688657,582533.4941737968,473887.7426159429,775704.5068925946
2026-06-01,1079457.6964250382,762791.0065947842,587581.4062034693,479168.38507290283,788007.4206562911
2026-07-01,1077816.1352943592,764041.8316950005,590938.7878279892,480803.71057206584,787878.0687643093
2026-08-01,1077289.0532620144,762997.0038825338,592822.4343853723,480357.7290731911,787087.3497177075
2026-09-01,1079058.9384019938,763359.4036436328,594366.5429459122,481220.916936583,786750.4681267801
2026-10-01,1070085.4883061568,760159.5659519647,595958.388843313,478823.77392227424,778822.0066046444
2026-11-01,1090073.3527945823,777934.1896841406,601865.8257984094,491195.6427514006,796482.7635413598
2026-12-01,1089636.8591835978,777911.6033768908,603966.5015272227,490129.94105460617,796577.1460531375
2027-01-01,1105423.437183011,785100.9774186867,606444.5590265639,492789.84634512896,808789.6550266469
2027-02-01,1130916.0736855355,803136.5399255027,610554.2600714645,500490.76527430234,829346.0535515505
2027-03-01,1090858.343123167,777627.4702913665,609545.8325682363,491943.35637900745,795534.0516298668
2027-04-01,1104533.3197196806,787277.0679333593,612679.9705074746,496593.0676166223,810951.0774194449
2027-05-01,1114286.9549933937,796540.2866933875,616759.4038250993,500590.24656114663,820800.2315525324
2027-06-01,1127491.0657840297,805526.9762355251,621447.7863198675,505148.2493139738,831094.3977601099
2027-07-01,1127017.275565413,807286.129146258,624774.4526428432,507002.83852947206,831748.0019803428
2027-08-01,1127166.0157345382,807061.9787107329,626935.4412676746,507023.8669839083,831534.8693855191
2027-09-01,1128794.0404683724,807712.5036338472,628694.1236468228,507886.5786898345,831396.2911739732
